race_id,series,year,race_file,driver_key,race_laps,race_relative_pace,race_relative_time
F1_2020_1037_belgian_grand_prix,F1,2020,1037_belgian_grand_prix,815,43,-0.0760852367069785,-0.10799999999998988
F1_2020_1037_belgian_grand_prix,F1,2020,1037_belgian_grand_prix,817,44,-0.5790295816353481,-0.6609999999999943
F1_2020_1037_belgian_grand_prix,F1,2020,1037_belgian_grand_prix,822,44,-0.9504833244417055,-1.3314999999999984
F1_2020_1037_belgian_grand_prix,F1,2020,1037_belgian_grand_prix,825,43,0.7840294450003344,0.7924999999999898
F1_2020_1037_belgian_grand_prix,F1,2020,1037_belgian_grand_prix,826,44,0.3808945901377455,0.4940000000000069
F1_2020_1037_belgian_grand_prix,F1,2020,1037_belgian_grand_prix,830,44,-0.8056466548676302,-1.368000000000002
F1_2020_1037_belgian_grand_prix,F1,2020,1037_belgian_grand_prix,839,44,-0.149409924245214,-0.19899999999999807
F1_2020_1037_belgian_grand_prix,F1,2020,1037_belgian_grand_prix,840,44,0,0
F1_2020_1037_belgian_grand_prix,F1,2020,1037_belgian_grand_prix,841,9,0.5267779672766115,0.5319999999999965
F1_2020_1037_belgian_grand_prix,F1,2020,1037_belgian_grand_prix,842,43,-0.23839481354329403,-0.23799999999999955
F1_2020_1037_belgian_grand_prix,F1,2020,1037_belgian_grand_prix,844,43,0.24352321141745836,0.2890000000000015
F1_2020_1037_belgian_grand_prix,F1,2020,1037_belgian_grand_prix,846,44,0,0
F1_2020_1037_belgian_grand_prix,F1,2020,1037_belgian_grand_prix,847,9,0.7614516105934442,0.7689999999999912
F1_2020_1037_belgian_grand_prix,F1,2020,1037_belgian_grand_prix,848,44,-0.15431030873750257,-0.1285000000000025
F1_2020_1037_belgian_grand_prix,F1,2020,1037_belgian_grand_prix,849,43,0.5848771256169366,0.7850000000000108
F1_2020_1038_italian_grand_prix,F1,2020,1038_italian_grand_prix,1,52,-1.5901493641823023,-1.1885000000000048
F1_2020_1038_italian_grand_prix,F1,2020,1038_italian_grand_prix,154,53,0.8617305746387617,0.5429999999999922
F1_2020_1038_italian_grand_prix,F1,2020,1038_italian_grand_prix,20,5,1.3318880880809394,0.9585000000000008
F1_2020_1038_italian_grand_prix,F1,2020,1038_italian_grand_prix,8,52,0.3986640767563254,0.24750000000000227
F1_2020_1038_italian_grand_prix,F1,2020,1038_italian_grand_prix,815,53,-0.10518671022951027,-0.05100000000000193
F1_2020_1038_italian_grand_prix,F1,2020,1038_italian_grand_prix,817,53,-0.4009621258775439,-0.24500000000000455
F1_2020_1038_italian_grand_prix,F1,2020,1038_italian_grand_prix,822,53,-0.2910718776160143,-0.2079999999999984
F1_2020_1038_italian_grand_prix,F1,2020,1038_italian_grand_prix,825,16,-0.1399853330826639,-0.09100000000000108
F1_2020_1038_italian_grand_prix,F1,2020,1038_italian_grand_prix,826,53,0.08055980406787706,0.05100000000000193
F1_2020_1038_italian_grand_prix,F1,2020,1038_italian_grand_prix,830,30,-0.2637118678853866,-0.14099999999999824
F1_2020_1038_italian_grand_prix,F1,2020,1038_italian_grand_prix,832,53,-0.7523960545546208,-0.464500000000001
F1_2020_1038_italian_grand_prix,F1,2020,1038_italian_grand_prix,839,53,0,0
F1_2020_1038_italian_grand_prix,F1,2020,1038_italian_grand_prix,840,53,-0.3201649554847963,-0.2560000000000002
F1_2020_1038_italian_grand_prix,F1,2020,1038_italian_grand_prix,841,52,0.647159224107777,0.4369999999999976
F1_2020_1038_italian_grand_prix,F1,2020,1038_italian_grand_prix,842,53,-0.3240173705252552,-0.2190000000000083
